Path;File;Number of lines;Changed Lines;Lines added;Lines removed;Number of contributers;Number of contributions;Number of fixes;Number of non fixes
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\tool\hbm2ddl\SchemaExport.java;SchemaExport.java;606;5;1;4;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\persister\collection\OneToManyPersister.java;OneToManyPersister.java;602;4;2;2;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\tool\schema\internal\SchemaDropperImpl.java;SchemaDropperImpl.java;594;2;1;1;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\dialect\DB2Dialect.java;DB2Dialect.java;594;44;33;11;3;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\query\criteria\internal\path\AbstractFromImpl.java;AbstractFromImpl.java;592;7;1;6;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\internal\Cascade.java;Cascade.java;591;77;49;28;3;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\id\enhanced\SequenceStyleGenerator.java;SequenceStyleGenerator.java;588;90;77;13;1;3;1;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\event\internal\DefaultLoadEventListener.java;DefaultLoadEventListener.java;585;769;217;552;5;12;0;12
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\tool\schema\internal\AbstractSchemaMigrator.java;AbstractSchemaMigrator.java;584;18;4;14;2;2;1;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\bytecode\enhance\internal\bytebuddy\EnhancerImpl.java;EnhancerImpl.java;578;546;337;209;4;20;0;20
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\type\Type.java;Type.java;577;738;374;364;2;4;1;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\loader\entity\DynamicBatchingEntityLoaderBuilder.java;DynamicBatchingEntityLoaderBuilder.java;577;133;99;34;3;4;0;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cfg\annotations\SimpleValueBinder.java;SimpleValueBinder.java;574;34;17;17;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\event\internal\DefaultMergeEventListener.java;DefaultMergeEventListener.java;559;174;116;58;4;6;0;6
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cfg\annotations\MapBinder.java;MapBinder.java;559;12;6;6;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\dialect\Database.java;Database.java;556;33;22;11;2;6;0;6
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\loader\custom\CustomLoader.java;CustomLoader.java;551;8;4;4;1;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\hql\internal\ast\tree\FromElementFactory.java;FromElementFactory.java;551;2;1;1;1;1;1;0
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\internal\TwoPhaseLoad.java;TwoPhaseLoad.java;547;358;254;104;4;13;0;13
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\metamodel\model\domain\internal\AbstractManagedType.java;AbstractManagedType.java;547;651;599;52;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\metamodel\internal\MetadataContext.java;MetadataContext.java;547;314;171;143;4;9;2;7
